# Bullinger	Heinrich
# Bullinger	Heinrich sen
# Bullinger	Heinrich jun
#	Czikowski	Andres
#	Cöignet	Mathieu
#	Cöignet	Matthieu
#	Cürio	Coelius Secundus
#	DUrquAcA	akok u
#	Daaypodiu	Betrus
#	Daius	Johannes IvUms
#	Danmatter	bhristian
#	Dasypodius	Gonrad
#	Dasypodius	Petras
#	Dasypodius	Petrus
#	Dathenus	Peter
#	Dathenus	Petras
#	Dathezms	Petras
#	DesGallara	Nicolas
#	Diesbaeh	Nikelaus
#	Diesbaek	Nikolaus ron
#	Dipelius	Nikolaus
#	DluskaKottwitz	Agnes
#	Dluski	Nikolaus
#	Dluski	NikolausKottwitz
#	Dluskl	Nikolaus
#	Dryander	Johannes
#	Dsylpodius	Petrus
#	DuMoulin	Charles da
#	Dunus	Thäddaeus
#	ELarer	Ambrosius
#	Eamus	Petrus
#	Eamus	Pierre
#	Eanchl	Hlerooiao
#	Eappoltstein	Anna Alexandi
#	Eduard	s.n.
#	Eesozzo	Antonio Mario
#	Ehern	Christopherus
#	Ehern	jgaspurp CWn Kf h
#	Ehlnger	Johannes
#	Eiliger	Jakob
#	EngtischeuchilifsmMner	zgfivpk
#	Enoc	Louis
#	Eoser	Simprecht
#	Erastus	Choana
#	Erli	Tpbias
#	Erni	Lienhart
#	Erstus	Thomas
#	Esri	enne
#	Etius	Johannes
#	Ewlch	Johann
#	Ewleh	Johannes
#	Eycosthenes	Konrad
#	Eäler	Johannes
#	Eüer	Jakob
#	FMlippin	EliSi
#	Faberius	Johannes
#	Fabri	dis Johannes
#	FabriLibertet	Christophe
#	Fabricius	Carolus
#	Fabricius	Earl
#	Fabricius	J bannes
#	Fabricius	JdapVnnes
#	Fabricius	Jhhannes
#	Fabricius	Johannes und
#	Fabricius	Johannesy
#	Fabricius	Jokaaaes
#	Fabrieias	Johannes
#	Fabrieiua	Johannes
#	Fabrielms	Johannes
#	Fabriflas	Jokannes
#	Fabrihs	Johannes
#	Fabriiius	Johannes
#	Fabrisime	Johannes
#	Fabrleims	Johannes
#	Fabrtcius	Johannes
#	Faceus	Valentinus
#	Fafcricius	Johannes
#	Fahrclus	Johannes
#	Fahricius	Jognnes
#	Fahrieius	Johannes
#	Farisotus	Petrus
#	Farkhurst	John
#	Fauli	Gregor
#	Fbricus	Jöhannes
#	Fehr	Jakob
#	Fejerthoy	Johannes
#	Festenberger	Georg
#	FfisterArtopoeusBaling	s.n.
#	Fihbri	cius J ohanne s
#	Filter	Raphael
#	FimtiLer	Josua
#	Fincier	Hermann
#	Finck	Conrad
#	Finck	Kenrad
#	Finck	onrad Wetzler Martin
#	Finder	Josua
#	Finok	Konrad
#	Finsler	Vinslerus
#	Finsler	Vinslerus Josias
#	Finsler	Vinslerus Josua
#	FinslerOVinslerus	Josua
#	FinslerVinslerus	Josias
#	FinslerVinslerus	Josua
#	Finster	Josua
#	Flnek	Conrad
#	Flnsler	Josua
#	Fontisella	Johannes
#	Foxe	Johannes und
#	Fraisse	s.n.
#	Fraisse	Jean du
#	Franz	Geistliche in
#	Frey	Joh Leop
#	Friedrich	III
#	Friedrich	III der Fromme
#	Friedrich	III vd Pfalz
#	Friedrich	PfAlzgf bei Eheiz
#	Friedrich	Pfüazgraf
#	Fries	Johannes
#	Frisching	Theobald
#	Frisehing	Theobald
#	Frlpching	Christiana
#	Frobenius	Hieronymus
#	Froschauer	Christoph jun
#	Frölich	G org
#	FrölichLaetus	Georg
#	Ftmek	Jekamnes
#	Funck	Johann
#	FunckFunccius	Johannes
Funk	Johannes
#	Fäbrieims	Johannes
#	Fäbrieius	Johannes
#	Fünkli	Jakob
#	Fürschlag	zur Nachfolge
#	Fürtrag	des Johannes
#	GUisWcV	v L
#	Gadius	Paulus
#	GafiusPaulus	s.n.
#	Gailieius	Philipp
#	Gallare	Nicolas
#	Gallatius	Nikolaus
#	Gallicius	Ehilipp
#	Galliciüs	Philipp
#	Gallieins	Philipp
#	Gallioius	Philipp
#	Gallleius	Philipp
#	Galrln	Johannes
#	Galther	Rudolf
#	Garnerius	Johannes
#	Gassander	Georg
#	GcXaU	W S
#	Gdjowski	Pawel
#	Geerg	rea
#	Geignet	Matthieu
#	Gener	Konrad
Gerlach	Jörg
#	Gesener	Konrad
#	Gesner	Konrad
#	Gessner	Conrad
#	Gessner	Eonrad
#	GevsHtV	s.n.
#	Ghaillet	David
#	Gheke	John
#	GiXowski	Pawel
#	GifaYarolusviilhelm	s.n.
#	Giiomkl	Itel
#	Gilbert	Cognatus
#	Gilowski	Paul
#	Gimper	Kaspar
Gleim	Otto
#	Gleim	Otto
#	Goignet	Mathieu
#	Goignet	Matthfeu
#	Gomander	Johannes und
#	Goodman	Christopher
#	Gporin	Johannes
#	Gracilis	s.n.
#	Gradius	Paulus
#	Grallicius	Philipp
#	Graser	Jonas
#	Grasser	Jenas
#	Grasserus	Jonas
#	Gratarolus	Guilhelmus
#	Gratarolus	Gullelmus
#	Grauarolus	Wilhelm
#	Gremjy	usj Luoluji
#	Gremp	s.n.
